"osm_id","latitude","longitude","name","traffic_signals","direction","crossing","source","osm_url"
308072451,13.0398882,77.5183596,"Jalahalli Cross","","","","OpenStreetMap","https://www.openstreetmap.org/node/308072451"
308074193,13.0287260,77.5401580,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/308074193"
308081022,13.0471228,77.5699836,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/308081022"
308188550,13.0059429,77.5486862,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/308188550"
308188640,13.0061180,77.5486635,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/308188640"
308218810,13.0527150,77.6460252,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/308218810"
308231592,13.0684068,77.5603705,"Nanjappa Circle","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/308231592"
308231734,13.0348022,77.5573491,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/308231734"
308231837,13.0496370,77.5537592,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/308231837"
308232366,13.0040722,77.5491659,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/308232366"
308232380,12.9876865,77.5500735,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/308232380"
308232384,12.9844607,77.5491829,"National Public School Circle","","","","OpenStreetMap","https://www.openstreetmap.org/node/308232384"
308232637,12.9600676,77.5328908,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/308232637"
308232833,12.9660878,77.5353121,"","","forward","","OpenStreetMap","https://www.openstreetmap.org/node/308232833"
308232847,12.9742803,77.5447396,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/308232847"
308232862,12.9842583,77.5489013,"National Public School Circle","","","","OpenStreetMap","https://www.openstreetmap.org/node/308232862"
308232865,12.9879677,77.5497657,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/308232865"
308232877,13.0037857,77.5490712,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/308232877"
308232885,13.0061811,77.5488004,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/308232885"
308232886,13.0060037,77.5488442,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/308232886"
308233404,12.9576812,77.5339714,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/308233404"
308238310,13.0404899,77.6244573,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/308238310"
308729117,12.9231908,77.5760980,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/308729117"
308729150,12.9234807,77.5763699,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/308729150"
308729151,12.9234243,77.5735584,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/308729151"
308807795,12.9273387,77.5769552,"Avarekalu Circle","","","","OpenStreetMap","https://www.openstreetmap.org/node/308807795"
308915752,12.9258055,77.6251691,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/308915752"
308923397,12.9438910,77.6075973,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/308923397"
308924882,12.9666874,77.6088877,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/308924882"
309592695,12.9351903,77.6244413,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/309592695"
309595499,12.9102099,77.5932544,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/309595499"
315208341,12.9385736,77.6325528,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/315208341"
315208342,12.9384443,77.6328936,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/315208342"
320647365,12.9642064,77.5768931,"KR Market","","","uncontrolled","OpenStreetMap","https://www.openstreetmap.org/node/320647365"
331665381,13.1036366,77.6002543,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/331665381"
332955178,13.0818799,77.5933910,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/332955178"
334482516,12.9750056,77.6082104,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/334482516"
335663834,13.0427065,77.5906305,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/335663834"
343088229,12.9918387,77.6145720,"Shri T R A Thumba Chetty Circle","","","","OpenStreetMap","https://www.openstreetmap.org/node/343088229"
343094471,13.0020419,77.6122469,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/343094471"
343320203,12.9942926,77.6635086,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/343320203"
343322076,13.0133145,77.6619872,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/343322076"
343322679,13.0002140,77.6768064,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/343322679"
343459489,13.0051531,77.6850038,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/343459489"
343462692,13.0135336,77.6624212,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/343462692"
343594553,12.9815657,77.6054118,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/343594553"
343601638,13.0398944,77.6243107,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/343601638"
347295433,12.9750703,77.5764108,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/347295433"
347295554,12.9746331,77.5708033,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/347295554"
348036175,12.9248465,77.6342272,"","","forward","","OpenStreetMap","https://www.openstreetmap.org/node/348036175"
355427675,12.9912525,77.6573283,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/355427675"
355427677,12.9911340,77.6568584,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/355427677"
355428774,12.9791928,77.6464567,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/355428774"
364626139,12.9175360,77.5739762,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/364626139"
374217275,13.0341380,77.5686006,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/374217275"
374217314,13.0370077,77.5659978,"","signal","","traffic_signals","OpenStreetMap","https://www.openstreetmap.org/node/374217314"
388463959,12.8739746,77.5405639,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/388463959"
410605177,13.0663680,77.6407745,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/410605177"
412135152,12.9954000,77.6020780,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/412135152"
416419153,13.0092971,77.6433987,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/416419153"
419638217,13.0290733,77.5398700,"Gorguntepalaya Cross","","","","OpenStreetMap","https://www.openstreetmap.org/node/419638217"
419638282,13.0285308,77.5197034,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/419638282"
426823702,13.0400737,77.5184224,"Jalahalli Cross","","","","OpenStreetMap","https://www.openstreetmap.org/node/426823702"
426835306,13.0171281,77.5605923,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/426835306"
426962389,12.9969354,77.5730781,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/426962389"
427531037,12.9919113,77.5754150,"","","","traffic_signals","OpenStreetMap","https://www.openstreetmap.org/node/427531037"
427593076,13.0036714,77.5699962,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/427593076"
427593081,12.9992144,77.5713561,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/427593081"
427593098,13.0056979,77.5637883,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/427593098"
427593100,13.0036936,77.5653044,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/427593100"
427593103,13.0056226,77.5667143,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/427593103"
427593300,13.0036878,77.5667685,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/427593300"
427593301,13.0055491,77.5681646,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/427593301"
427593305,13.0054364,77.5712126,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/427593305"
427593398,13.0036822,77.5681969,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/427593398"
427594203,13.0185033,77.5579816,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/427594203"
428420881,12.9718188,77.5939029,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/428420881"
428435127,12.9649679,77.5966070,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/428435127"
428457171,12.9538291,77.5914250,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/428457171"
428457173,12.9555639,77.5922182,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/428457173"
428853824,12.9806670,77.5768379,"","","","uncontrolled","OpenStreetMap","https://www.openstreetmap.org/node/428853824"
428853845,12.9797639,77.5817457,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/428853845"
429001262,12.9638856,77.5850350,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/429001262"
429001265,12.9655022,77.5866582,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/429001265"
429230963,12.9669523,77.5872021,"","signal","forward","","OpenStreetMap","https://www.openstreetmap.org/node/429230963"
429286843,12.9752510,77.5486665,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/429286843"
429726441,12.9688160,77.5680475,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/429726441"
429731194,12.9530862,77.5735970,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/429731194"
430043662,13.0101366,77.5905814,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/430043662"
430127696,13.0430481,77.5900575,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/430127696"
431524344,12.9817204,77.6284718,"","","","traffic_signals","OpenStreetMap","https://www.openstreetmap.org/node/431524344"
431530258,13.0356131,77.5536152,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/431530258"
432501724,12.9841140,77.6407843,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/432501724"
